subject,body,is_phishing
Same address year third,Click here to update. http://secure-update.xyz/login,1
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Without certainly thus open,Urgent action required. http://doc-share.xyz/file.pdf,1
Package Delivery,Please review the updated HR policy document.,0
Lose leave suggest sit,Login immediately. http://confirm-user.ga,1
Newsletter Subscription,Thank you for your order #12345.,0
Only enjoy second,Verify your account. http://login-security.xyz,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Theory next decade,Urgent action required. http://bank-secure.gq,1
Your Monthly Invoice,Thank you for your order #12345.,0
Team Outing,"Dear customer, please find your invoice attached.",0
Suffer available,Payment declined. http://bank-secure.gq,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Mouth recent her sense interview,Password expires. http://secure-update.xyz/login,1
Base win end cold,Suspended account. http://doc-share.xyz/file.pdf,1
Computer money,Document shared with you. http://bank-secure.gq,1
Write type fish show skill,Click here to update. http://password-reset.tk,1
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Common hope chance than,Unauthorized login. http://bank-secure.gq,1
Especially sister official stand,Security alert. http://alert-now.cf,1
Package Delivery,Looking forward to our team outing next Friday!,0
Against box organization,Payment declined. http://secure-access.ml,1
Support Ticket Response,Your support ticket has been resolved.,0
Answer difficult Democrat attention,Document shared with you. http://doc-share.xyz/file.pdf,1
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Yard force make,Click here to update. http://alert-now.cf,1
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,Thank you for your order #12345.,0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Support Ticket Response,Looking forward to our team outing next Friday!,0
Meet get ever partner surface,Payment declined. http://doc-share.xyz/file.pdf,1
No hope,Click here to update. http://password-reset.tk,1
Space stay,Confirm your identity. http://doc-share.xyz/file.pdf,1
Available system born thousand,Click here to update. http://login-security.xyz,1
Notice especially beautiful us think,Update required. http://password-reset.tk,1
Meeting Reminder,Please review the updated HR policy document.,0
Package Delivery,Looking forward to our team outing next Friday!,0
Decide image,Confirm your identity. http://secure-update.xyz/login,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Meeting Reminder,Thank you for your order #12345.,0
Environment might others whose mother,Login immediately. http://login-security.xyz,1
Term safe wish us,Verify your account. http://confirm-user.ga,1
Support Ticket Response,Thank you for your order #12345.,0
Power kid,Invoice error. http://secure-access.ml,1
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Project Status,Thank you for your order #12345.,0
Significant prove wind,Unauthorized login. http://bank-secure.gq,1
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Health along page,Click here to update. http://secure-access.ml,1
Team Outing,Here is the latest status update on Project Apollo.,0
See season,Banking issue. http://doc-share.xyz/file.pdf,1
Protect true child,Confirm your identity. http://bank-secure.gq,1
Scene she,Suspended account. http://confirm-user.ga,1
Your Monthly Invoice,Thank you for your order #12345.,0
Newspaper return only world,Confirm your identity. http://login-security.xyz,1
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Miss after herself individual someone,Banking issue. http://alert-now.cf,1
Project Status,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Your support ticket has been resolved.,0
Form apply check ground affect,Suspended account. http://confirm-user.ga,1
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Every all cell list,Login immediately. http://secure-update.xyz/login,1
HR Policy Update,Please review the updated HR policy document.,0
Newsletter Subscription,Please review the updated HR policy document.,0
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Fact each plan second,Banking issue. http://login-security.xyz,1
Popular outside role,Invoice error. http://alert-now.cf,1
Nearly face election,Unauthorized login. http://secure-update.xyz/login,1
Season style reason home,Unauthorized login. http://alert-now.cf,1
List must enter public,Document shared with you. http://login-security.xyz,1
School want determine among,Verify your account. http://doc-share.xyz/file.pdf,1
Myself teacher commercial,Password expires. http://secure-update.xyz/login,1
Newsletter Subscription,Please review the updated HR policy document.,0
Voice environmental,Invoice error. http://confirm-user.ga,1
Sense policy no,Security alert. http://bank-secure.gq,1
Painting cultural move learn and,Update required. http://doc-share.xyz/file.pdf,1
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Team Outing,Here is the latest status update on Project Apollo.,0
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Full base doctor,Banking issue. http://alert-now.cf,1
Material center final improve goal,Invoice error. http://doc-share.xyz/file.pdf,1
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Special investment act,Confirm your identity. http://password-reset.tk,1
Any at budget drug oil,Verify your account. http://doc-share.xyz/file.pdf,1
Company kitchen safe one,Security alert. http://confirm-user.ga,1
Reach price,Verify your account. http://doc-share.xyz/file.pdf,1
Health effect suggest meet,Confirm your identity. http://alert-now.cf,1
Theory study range water,Unauthorized login. http://alert-now.cf,1
Ask role we,Suspended account. http://secure-access.ml,1
Specific capital,Login immediately. http://secure-access.ml,1
Project Status,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Weight arm relate hotel,Urgent action required. http://alert-now.cf,1
Project Status,Thanks for subscribing to our newsletter!,0
Employee officer,Password expires. http://bank-secure.gq,1
Meeting Reminder,Thank you for your order #12345.,0
Team Outing,Thanks for subscribing to our newsletter!,0
Five wear despite,Reset your password. http://doc-share.xyz/file.pdf,1
Present receive evening common,Payment declined. http://secure-update.xyz/login,1
Parent development be,Urgent action required. http://secure-access.ml,1
Role gas,Verify your account. http://secure-update.xyz/login,1
HR Policy Update,"Dear customer, please find your invoice attached.",0
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Team Outing,"Dear customer, please find your invoice attached.",0
Just letter,Confirm your identity. http://confirm-user.ga,1
Order Confirmation,Thanks for subscribing to our newsletter!,0
Energy interesting strong,Suspended account. http://bank-secure.gq,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Girl say board station,Verify your account. http://alert-now.cf,1
Team Outing,Looking forward to our team outing next Friday!,0
Almost price,Click here to update. http://confirm-user.ga,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
True kind benefit personal certain,Click here to update. http://secure-access.ml,1
Order Confirmation,Looking forward to our team outing next Friday!,0
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Make draw candidate coach newspaper,Password expires. http://password-reset.tk,1
Me and especially west,Payment declined. http://secure-update.xyz/login,1
Your Monthly Invoice,Please review the updated HR policy document.,0
Project Status,Thanks for subscribing to our newsletter!,0
Mind garden available toward,Reset your password. http://confirm-user.ga,1
Order Confirmation,Your support ticket has been resolved.,0
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Difficult site air as,Click here to update. http://secure-update.xyz/login,1
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,Your support ticket has been resolved.,0
Author conference eight capital,Update required. http://login-security.xyz,1
Project Status,Thanks for subscribing to our newsletter!,0
Have ability ball,Verify your account. http://secure-access.ml,1
Debate near,Invoice error. http://doc-share.xyz/file.pdf,1
Successful Congress,Unauthorized login. http://doc-share.xyz/file.pdf,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Indicate already,Password expires. http://doc-share.xyz/file.pdf,1
Lay think,Confirm your identity. http://bank-secure.gq,1
Agency outside,Security alert. http://secure-update.xyz/login,1
Follow their agreement hit than,Password expires. http://confirm-user.ga,1
HR Policy Update,"Dear customer, please find your invoice attached.",0
Behind son,Invoice error. http://bank-secure.gq,1
Old magazine way machine,Suspended account. http://bank-secure.gq,1
Package Delivery,Looking forward to our team outing next Friday!,0
Voice likely,Payment declined. http://doc-share.xyz/file.pdf,1
Enough try interview skin,Document shared with you. http://secure-access.ml,1
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Your Monthly Invoice,Your support ticket has been resolved.,0
Board structure reduce question,Unauthorized login. http://doc-share.xyz/file.pdf,1
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Friend color industry writer,Invoice error. http://password-reset.tk,1
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Work father across hotel heart,Reset your password. http://doc-share.xyz/file.pdf,1
Direction exactly,Suspended account. http://alert-now.cf,1
Skill first prevent exist chair,Update required. http://bank-secure.gq,1
On region work themselves tax,Login immediately. http://bank-secure.gq,1
Package Delivery,Looking forward to our team outing next Friday!,0
Order Confirmation,"Dear customer, please find your invoice attached.",0
Two one feeling,Password expires. http://login-security.xyz,1
Project Status,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Project Status,Looking forward to our team outing next Friday!,0
Process camera practice direction,Password expires. http://login-security.xyz,1
Support Ticket Response,Thank you for your order #12345.,0
Relate gun time listen physical,Confirm your identity. http://doc-share.xyz/file.pdf,1
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
HR Policy Update,Please review the updated HR policy document.,0
Meeting Reminder,"Dear customer, please find your invoice attached.",0
Tv half,Click here to update. http://bank-secure.gq,1
Idea serious best,Suspended account. http://confirm-user.ga,1
Listen issue indeed,Verify your account. http://alert-now.cf,1
Foot those site create,Update required. http://alert-now.cf,1
Idea food sense really,Document shared with you. http://alert-now.cf,1
East house,Security alert. http://login-security.xyz,1
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,Here is the latest status update on Project Apollo.,0
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Thank you for your order #12345.,0
Project Status,Please review the updated HR policy document.,0
Support Ticket Response,Thank you for your order #12345.,0
Age worker development,Update required. http://bank-secure.gq,1
Support Ticket Response,Please review the updated HR policy document.,0
Your Monthly Invoice,Thank you for your order #12345.,0
Door record we between,Suspended account. http://doc-share.xyz/file.pdf,1
Package Delivery,Your support ticket has been resolved.,0
Order Confirmation,Your support ticket has been resolved.,0
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Package Delivery,Your support ticket has been resolved.,0
Meeting Reminder,Your support ticket has been resolved.,0
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Budget lot customer,Login immediately. http://doc-share.xyz/file.pdf,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Develop education,Suspended account. http://login-security.xyz,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Meeting Reminder,Thank you for your order #12345.,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Determine everything work public,Suspended account. http://alert-now.cf,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Race special industry,Banking issue. http://secure-update.xyz/login,1
Establish attention recognize find pick,Document shared with you. http://confirm-user.ga,1
Involve church discussion seek,Banking issue. http://password-reset.tk,1
Package Delivery,"Dear customer, please find your invoice attached.",0
Package Delivery,Your support ticket has been resolved.,0
Because painting suddenly mean mouth,Login immediately. http://bank-secure.gq,1
Project Status,Looking forward to our team outing next Friday!,0
Team Outing,Looking forward to our team outing next Friday!,0
Far everything each own,Unauthorized login. http://login-security.xyz,1
Entire research air book,Invoice error. http://confirm-user.ga,1
Newsletter Subscription,Please review the updated HR policy document.,0
Plant to serious,Suspended account. http://bank-secure.gq,1
Article figure thousand,Unauthorized login. http://bank-secure.gq,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
HR Policy Update,Looking forward to our team outing next Friday!,0
Argue structure enough,Update required. http://secure-access.ml,1
Technology foot she face,Verify your account. http://alert-now.cf,1
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Middle Mrs effect,Reset your password. http://password-reset.tk,1
Timesheet Submission Reminder,Your support ticket has been resolved.,0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Never wish accept loss laugh,Security alert. http://bank-secure.gq,1
Meeting Reminder,Looking forward to our team outing next Friday!,0
Record first similar kitchen,Unauthorized login. http://login-security.xyz,1
Between or perhaps of vote,Document shared with you. http://alert-now.cf,1
Policy generation I,Login immediately. http://confirm-user.ga,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Staff rise bill lay,Suspended account. http://doc-share.xyz/file.pdf,1
Team Outing,Please review the updated HR policy document.,0
Hit yard administration resource growth,Login immediately. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Modern age pull budget whatever,Verify your account. http://login-security.xyz,1
HR Policy Update,"Dear customer, please find your invoice attached.",0
Door under bill,Security alert. http://bank-secure.gq,1
Meeting Reminder,Looking forward to our team outing next Friday!,0
Meeting Reminder,Your support ticket has been resolved.,0
Interesting group near,Reset your password. http://alert-now.cf,1
Treat those decision fact watch,Urgent action required. http://secure-update.xyz/login,1
Set particular such draw,Password expires. http://password-reset.tk,1
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Throughout red property career,Urgent action required. http://bank-secure.gq,1
HR Policy Update,Looking forward to our team outing next Friday!,0
Community voice set,Login immediately. http://secure-access.ml,1
Language data technology,Banking issue. http://alert-now.cf,1
Close push consider common election,Security alert. http://bank-secure.gq,1
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Know position all,Document shared with you. http://secure-update.xyz/login,1
Team Outing,Looking forward to our team outing next Friday!,0
Order Confirmation,"Dear customer, please find your invoice attached.",0
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
Order Confirmation,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Looking forward to our team outing next Friday!,0
Point social year,Reset your password. http://confirm-user.ga,1
Dog name beautiful,Password expires. http://secure-access.ml,1
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Increase treat crime account set,Payment declined. http://login-security.xyz,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Interesting deal family,Document shared with you. http://doc-share.xyz/file.pdf,1
Exactly stay past fact,Click here to update. http://secure-access.ml,1
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Development reality record audience,Login immediately. http://doc-share.xyz/file.pdf,1
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,Thank you for your order #12345.,0
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Think occur,Payment declined. http://login-security.xyz,1
Package Delivery,"Hi team, don't forget our meeting today at 2 PM.",0
Team Outing,Thank you for your order #12345.,0
Address final determine call,Reset your password. http://secure-update.xyz/login,1
Edge instead including manage,Click here to update. http://secure-access.ml,1
HR Policy Update,Thank you for your order #12345.,0
Better wind peace anything,Password expires. http://bank-secure.gq,1
Instead civil determine,Suspended account. http://alert-now.cf,1
Moment decision perhaps watch,Suspended account. http://bank-secure.gq,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Something history region score upon,Suspended account. http://alert-now.cf,1
Support Ticket Response,Thank you for your order #12345.,0
Newsletter Subscription,Your support ticket has been resolved.,0
Certain point figure world around,Update required. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,Thank you for your order #12345.,0
Official economic enjoy reflect,Unauthorized login. http://secure-access.ml,1
As like big,Urgent action required. http://alert-now.cf,1
Participant keep rock learn,Document shared with you. http://secure-update.xyz/login,1
Order Confirmation,Your support ticket has been resolved.,0
Order Confirmation,Thanks for subscribing to our newsletter!,0
Role impact if rise government,Suspended account. http://secure-update.xyz/login,1
Dream effect itself site,Payment declined. http://secure-access.ml,1
Package Delivery,Thank you for your order #12345.,0
Order Confirmation,Your support ticket has been resolved.,0
Project Status,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Relate threat camera a special,Click here to update. http://bank-secure.gq,1
Project Status,Thanks for subscribing to our newsletter!,0
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Team Outing,Thanks for subscribing to our newsletter!,0
Serious necessary garden wait,Confirm your identity. http://secure-access.ml,1
Able many eat,Urgent action required. http://login-security.xyz,1
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Sort foreign you far,Document shared with you. http://secure-access.ml,1
Determine institution office them,Confirm your identity. http://alert-now.cf,1
Candidate him practice,Password expires. http://login-security.xyz,1
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Drug face behind not,Payment declined. http://alert-now.cf,1
Team Outing,Thank you for your order #12345.,0
Team Outing,Please review the updated HR policy document.,0
Create whether institution no,Verify your account. http://password-reset.tk,1
Package Delivery,Your support ticket has been resolved.,0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Ask nature,Verify your account. http://alert-now.cf,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Professor already other modern,Banking issue. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Team Outing,"Dear customer, please find your invoice attached.",0
Foot usually their,Update required. http://bank-secure.gq,1
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Husband similar side,Password expires. http://doc-share.xyz/file.pdf,1
Fire you me say plant,Urgent action required. http://secure-update.xyz/login,1
Light still church local right,Banking issue. http://secure-access.ml,1
Package Delivery,Please review the updated HR policy document.,0
Team Outing,Thank you for your order #12345.,0
Package Delivery,Looking forward to our team outing next Friday!,0
Support Ticket Response,Your support ticket has been resolved.,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Research couple project response central,Urgent action required. http://confirm-user.ga,1
General election recently list,Unauthorized login. http://doc-share.xyz/file.pdf,1
Support Ticket Response,Please review the updated HR policy document.,0
Sometimes enter behavior technology,Suspended account. http://bank-secure.gq,1
Population represent,Update required. http://confirm-user.ga,1
Cover despite,Password expires. http://secure-update.xyz/login,1
HR Policy Update,Thank you for your order #12345.,0
Music occur hotel,Payment declined. http://alert-now.cf,1
Newsletter Subscription,Please review the updated HR policy document.,0
Decide commercial institution thus,Unauthorized login. http://secure-update.xyz/login,1
Package Delivery,Please review the updated HR policy document.,0
Include federal,Verify your account. http://confirm-user.ga,1
Body west pattern similar,Urgent action required. http://password-reset.tk,1
Even but hospital morning,Verify your account. http://confirm-user.ga,1
Effort west,Confirm your identity. http://bank-secure.gq,1
Be central agree each couple,Verify your account. http://password-reset.tk,1
Stay total do,Password expires. http://confirm-user.ga,1
HR Policy Update,Looking forward to our team outing next Friday!,0
Your Monthly Invoice,Thank you for your order #12345.,0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Them most stuff cut movement,Payment declined. http://secure-access.ml,1
Effect term officer,Security alert. http://secure-update.xyz/login,1
Team Outing,Thanks for subscribing to our newsletter!,0
Early produce,Urgent action required. http://alert-now.cf,1
Feel leave,Suspended account. http://secure-access.ml,1
That act claim result,Document shared with you. http://password-reset.tk,1
Admit Mr,Invoice error. http://password-reset.tk,1
Little attention,Unauthorized login. http://secure-access.ml,1
HR Policy Update,Your support ticket has been resolved.,0
Late coach,Password expires. http://bank-secure.gq,1
Your Monthly Invoice,Looking forward to our team outing next Friday!,0
Support Ticket Response,Thank you for your order #12345.,0
Force realize,Banking issue. http://confirm-user.ga,1
Democratic address,Unauthorized login. http://doc-share.xyz/file.pdf,1
Team Outing,Looking forward to our team outing next Friday!,0
Package Delivery,"Dear customer, please find your invoice attached.",0
HR Policy Update,Thanks for subscribing to our newsletter!,0
Six today behind go,Urgent action required. http://secure-update.xyz/login,1
Timesheet Submission Reminder,Thank you for your order #12345.,0
Safe particular within,Password expires. http://secure-access.ml,1
Art western body away,Suspended account. http://login-security.xyz,1
Surface rule city,Password expires. http://secure-update.xyz/login,1
Same remember program,Reset your password. http://secure-access.ml,1
Watch loss action as role,Verify your account. http://confirm-user.ga,1
Meeting Reminder,"Dear customer, please find your invoice attached.",0
HR Policy Update,"Dear customer, please find your invoice attached.",0
Package Delivery,Your support ticket has been resolved.,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Nice bit same poor,Payment declined. http://bank-secure.gq,1
Ground candidate my simple,Banking issue. http://doc-share.xyz/file.pdf,1
Team Outing,Please review the updated HR policy document.,0
Meeting Reminder,Here is the latest status update on Project Apollo.,0
HR Policy Update,Thank you for your order #12345.,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Yeah sell American,Invoice error. http://alert-now.cf,1
Project Status,Looking forward to our team outing next Friday!,0
Food maybe white,Security alert. http://password-reset.tk,1
Nothing chance,Password expires. http://secure-update.xyz/login,1
If evening part out particular,Suspended account. http://login-security.xyz,1
Actually product community century,Payment declined. http://login-security.xyz,1
Executive president,Suspended account. http://secure-access.ml,1
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Order Confirmation,Thanks for subscribing to our newsletter!,0
HR Policy Update,Here is the latest status update on Project Apollo.,0
Might tree minute,Urgent action required. http://secure-access.ml,1
HR Policy Update,Thanks for subscribing to our newsletter!,0
Project Status,Your support ticket has been resolved.,0
They bed also,Unauthorized login. http://secure-access.ml,1
Young likely seven under,Banking issue. http://confirm-user.ga,1
By else reflect when,Click here to update. http://confirm-user.ga,1
HR Policy Update,Thank you for your order #12345.,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Often behind marriage,Suspended account. http://confirm-user.ga,1
Day door,Suspended account. http://alert-now.cf,1
Majority or laugh rule magazine,Urgent action required. http://confirm-user.ga,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Package Delivery,Looking forward to our team outing next Friday!,0
Analysis finish my look mouth,Document shared with you. http://bank-secure.gq,1
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Commercial eye probably form agency,Update required. http://confirm-user.ga,1
Order Confirmation,Your support ticket has been resolved.,0
Project Status,Thanks for subscribing to our newsletter!,0
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Team gas century brother,Verify your account. http://confirm-user.ga,1
One relationship purpose leg us,Password expires. http://password-reset.tk,1
Service husband,Suspended account. http://password-reset.tk,1
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Performance scene left run,Banking issue. http://alert-now.cf,1
Treatment leader road stage,Security alert. http://confirm-user.ga,1
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Here is the latest status update on Project Apollo.,0
Produce probably similar,Invoice error. http://password-reset.tk,1
Bed sea stage guy,Security alert. http://secure-access.ml,1
When operation,Reset your password. http://secure-access.ml,1
Mouth blood rather interesting me,Update required. http://password-reset.tk,1
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Significant middle speech,Click here to update. http://login-security.xyz,1
Pass market trouble control,Payment declined. http://login-security.xyz,1
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Glass after,Verify your account. http://bank-secure.gq,1
Live ago computer identify door,Security alert. http://bank-secure.gq,1
HR Policy Update,Please review the updated HR policy document.,0
HR Policy Update,Thank you for your order #12345.,0
HR Policy Update,"Dear customer, please find your invoice attached.",0
Appear yeah manage,Invoice error. http://password-reset.tk,1
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Meeting Reminder,Thank you for your order #12345.,0
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Sell benefit control red back,Payment declined. http://confirm-user.ga,1
Project Status,"Dear customer, please find your invoice attached.",0
Skill true I sense easy,Update required. http://doc-share.xyz/file.pdf,1
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Certainly sort public fund main,Suspended account. http://bank-secure.gq,1
Do own among hope clear,Click here to update. http://confirm-user.ga,1
Stuff sound design,Payment declined. http://password-reset.tk,1
Physical garden understand free pattern,Unauthorized login. http://alert-now.cf,1
Hold ever,Login immediately. http://password-reset.tk,1
Take prove culture talk,Unauthorized login. http://secure-access.ml,1
Design process chair,Verify your account. http://password-reset.tk,1
Order Confirmation,Looking forward to our team outing next Friday!,0
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Order Confirmation,"Dear customer, please find your invoice attached.",0
Represent best up community,Verify your account. http://secure-update.xyz/login,1
Order Confirmation,Your support ticket has been resolved.,0
Some quite it,Confirm your identity. http://password-reset.tk,1
Package Delivery,Looking forward to our team outing next Friday!,0
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Smile institution,Update required. http://bank-secure.gq,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Your Monthly Invoice,Your support ticket has been resolved.,0
Hard network bank treatment,Update required. http://confirm-user.ga,1
Certainly nearly mention agent,Urgent action required. http://login-security.xyz,1
Board product none other,Payment declined. http://alert-now.cf,1
General operation either light total,Update required. http://password-reset.tk,1
Support Ticket Response,Please review the updated HR policy document.,0
Team Outing,Please review the updated HR policy document.,0
Team Outing,Looking forward to our team outing next Friday!,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Make decision serious,Security alert. http://alert-now.cf,1
Project Status,Please review the updated HR policy document.,0
Theory western born side,Suspended account. http://doc-share.xyz/file.pdf,1
Your Monthly Invoice,Thank you for your order #12345.,0
Package Delivery,Your support ticket has been resolved.,0
Order Confirmation,Here is the latest status update on Project Apollo.,0
Green you,Confirm your identity. http://alert-now.cf,1
Ask when show investment we,Urgent action required. http://alert-now.cf,1
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Worker peace sound,Reset your password. http://confirm-user.ga,1
Project Status,"Dear customer, please find your invoice attached.",0
HR Policy Update,Your support ticket has been resolved.,0
Tax edge term,Confirm your identity. http://login-security.xyz,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Team Outing,Please review the updated HR policy document.,0
Us mind partner nearly,Verify your account. http://confirm-user.ga,1
Support small situation follow,Verify your account. http://doc-share.xyz/file.pdf,1
Meeting Reminder,"Dear customer, please find your invoice attached.",0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Party establish right happy,Verify your account. http://bank-secure.gq,1
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
